location,date,variant,num_sequences,perc_sequences,num_sequences_total
Argentina,2020-12-07,Kappa,,,34
Argentina,2020-12-07,Epsilon,0,0.0,34
Argentina,2020-12-07,Eta,0,0.0,34
Argentina,2020-12-07,Iota,0,0.0,34
Argentina,2020-12-07,Lambda,0,0.0,34
Argentina,2020-12-07,B.1.621,,,34
Argentina,2020-12-07,S:677P.Pelican,,,34
Argentina,2020-12-07,S:677H.Robin1,,,34
Argentina,2020-12-07,others,34,100.0,34
Argentina,2020-12-07,non_who,34,100.0,34
Argentina,2020-12-21,B.1.160,,,56
Argentina,2020-12-21,B.1.620,,,56
Argentina,2020-12-21,B.1.258,,,56
Argentina,2020-12-21,B.1.221,,,56
Argentina,2020-12-21,B.1.1.302,,,56
Argentina,2020-12-21,B.1.1.277,,,56
Argentina,2020-12-21,B.1.1.519,0,0.0,56
Argentina,2020-12-21,B.1.367,,,56
Argentina,2020-12-21,B.1.177,,,56
Argentina,2020-12-21,Beta,0,0.0,56
Argentina,2020-12-21,Alpha,0,0.0,56
Argentina,2020-12-21,Gamma,0,0.0,56
Argentina,2020-12-21,Delta,0,0.0,56
Argentina,2020-12-21,Kappa,,,56
Argentina,2020-12-21,Epsilon,0,0.0,56
Argentina,2020-12-21,Eta,0,0.0,56
Argentina,2020-12-21,Iota,0,0.0,56
Argentina,2020-12-21,Lambda,0,0.0,56
Argentina,2020-12-21,B.1.621,,,56
Argentina,2020-12-21,S:677P.Pelican,,,56
Argentina,2020-12-21,S:677H.Robin1,,,56
Argentina,2020-12-21,others,56,100.0,56
Argentina,2020-12-21,non_who,56,100.0,56
Argentina,2021-01-04,B.1.160,,,32
Argentina,2021-01-04,B.1.620,,,32
Argentina,2021-01-04,B.1.258,,,32
Argentina,2021-01-04,B.1.221,,,32
Argentina,2021-01-04,B.1.1.302,,,32
Argentina,2021-01-04,B.1.1.277,,,32
Argentina,2021-01-04,B.1.1.519,0,0.0,32
Argentina,2021-01-04,B.1.367,,,32
Argentina,2021-01-04,B.1.177,,,32
Argentina,2021-01-04,Beta,0,0.0,32
Argentina,2021-01-04,Alpha,1,3.12,32
Argentina,2021-01-04,Gamma,0,0.0,32
Argentina,2021-01-04,Delta,0,0.0,32
Argentina,2021-01-04,Kappa,,,32
Argentina,2021-01-04,Epsilon,0,0.0,32
Argentina,2021-01-04,Eta,0,0.0,32
Argentina,2021-01-04,Iota,0,0.0,32
Argentina,2021-01-04,Lambda,0,0.0,32
Argentina,2021-01-04,B.1.621,,,32
Argentina,2021-01-04,S:677P.Pelican,,,32
Argentina,2021-01-04,S:677H.Robin1,,,32
Argentina,2021-01-04,others,31,96.88,32
Argentina,2021-01-04,non_who,31,96.88,32
Argentina,2021-02-08,B.1.160,,,36
Argentina,2021-02-08,B.1.620,,,36
Argentina,2021-02-08,B.1.258,,,36
Argentina,2021-02-08,B.1.221,,,36
Argentina,2021-02-08,B.1.1.302,,,36
Argentina,2021-02-08,B.1.1.277,,,36
Argentina,2021-02-08,B.1.1.519,8,22.22,36
Argentina,2021-02-08,B.1.367,,,36
Argentina,2021-02-08,B.1.177,,,36
Argentina,2021-02-08,Beta,0,0.0,36
Argentina,2021-02-08,Alpha,3,8.33,36
Argentina,2021-02-08,Gamma,2,5.56,36
Argentina,2021-02-08,Delta,0,0.0,36
Argentina,2021-02-08,Kappa,,,36
