date,age_group_min,age_group_max,total_vaccinations,location
2021-04-20,51,60,2887127.0,Chile
2021-04-20,31,40,1662826.0,Chile
2021-04-20,15,20,195026.0,Chile
2021-04-20,71,72,431936.0,Chile
2021-04-20,41,50,1896040.0,Chile
2021-04-20,21,30,1298299.0,Chile
2021-04-20,73,74,389782.0,Chile
2021-04-20,78,79,275383.0,Chile
2021-04-21,80,,1045001.0,Chile
2021-04-21,80,,931895.0,Chile
2021-04-21,31,40,1662826.0,Chile
2021-04-21,73,74,389782.0,Chile
2021-04-21,75,77,499797.0,Chile
2021-04-21,15,20,195026.0,Chile
2021-04-21,18,39,8506720.0,Chile
2021-04-21,40,49,3805108.0,Chile
2021-04-21,60,69,3427950.0,Chile
2021-04-21,51,60,2887127.0,Chile
2021-04-21,15,17,757135.0,Chile
2021-04-21,61,70,2884491.0,Chile
